

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
085.550  000.048  000.029: require('cmp.utils.autocmd')
085.790  000.665  000.305: sourcing /home/met/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
085.927  000.074  000.074: require('lsp-zero.setup')
085.968  000.038  000.038: require('lsp-zero.api')
085.970  000.162  000.049: require('lsp-zero')
085.996  000.025  000.025: require('lsp-zero.cmp')
086.188  000.062  000.062: require('cmp.utils.char')
086.193  000.090  000.028: require('cmp.utils.str')
086.294  000.017  000.017: require('cmp.utils.buffer')
086.297  000.055  000.038: require('cmp.utils.keymap')
086.299  000.105  000.050: require('cmp.utils.feedkeys')
086.405  000.038  000.038: require('cmp.config.mapping')
086.433  000.027  000.027: require('cmp.utils.cache')
086.491  000.030  000.030: require('cmp.config.compare')
086.492  000.058  000.028: require('cmp.config.default')
086.501  000.166  000.044: require('cmp.config')
086.508  000.208  000.041: require('cmp.utils.async')
086.547  000.018  000.018: require('cmp.utils.pattern')
086.549  000.040  000.023: require('cmp.context')
086.677  000.022  000.022: require('cmp.matcher')
086.681  000.077  000.054: require('cmp.entry')
086.684  000.135  000.058: require('cmp.source')
086.735  000.016  000.016: require('cmp.utils.event')
086.826  000.017  000.017: require('cmp.utils.options')
086.828  000.070  000.053: require('cmp.utils.window')
086.829  000.094  000.024: require('cmp.view.docs_view')
086.884  000.055  000.055: require('cmp.view.custom_entries_view')
086.919  000.034  000.034: require('cmp.view.wildmenu_entries_view')
086.948  000.027  000.027: require('cmp.view.native_entries_view')
087.000  000.052  000.052: require('cmp.view.ghost_text_view')
087.006  000.321  000.044: require('cmp.view')
087.484  001.441  000.542: require('cmp.core')
087.946  000.272  000.272: require('cmp.config.sources')
088.159  000.203  000.203: require('cmp.config.window')
088.329  002.330  000.415: require('cmp')
090.408  001.197  001.197: require('luasnip.session.enqueueable_operations')
090.658  000.240  000.240: require('luasnip.util.jsonc')
091.058  000.046  000.046: require('luasnip.util.events')
091.068  000.108  000.062: require('luasnip.nodes.node')
091.230  000.161  000.161: require('luasnip.nodes.insertNode')
091.289  000.058  000.058: require('luasnip.nodes.textNode')
091.378  000.087  000.087: require('luasnip.util.mark')
091.430  000.051  000.051: require('luasnip.util.pattern_tokenizer')
091.478  000.046  000.046: require('luasnip.util.dict')
092.521  000.944  000.944: require('luasnip.util.jsregexp')
092.534  001.041  000.097: require('luasnip.nodes.util.trig_engines')
